TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-13 11:11:00,1768302660391,handscriptnotes.vercel.app/api/process-batch,POST,,200,dp4ts-1768302649895-789ada665943,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""BatchProcessingStart"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":6,""batchSize"":1,""timestamp"":""2026-01-13T11:11:00.390Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-13 11:11:06,1768302666320,handscriptnotes.vercel.app/api/process-batch,POST,,200,dp4ts-1768302649895-789ada665943,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",warning,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""PageCountMismatch"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":6,""expected"":1,""generated"":2,""diff"":1,""timestamp"":""2026-01-13T11:11:06.319Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-13 11:11:06,1768302666329,handscriptnotes.vercel.app/api/process-batch,POST,,200,dp4ts-1768302649895-789ada665943,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""BatchProcessingComplete"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":6,""processedCount"":1,""durationMs"":5961,""timestamp"":""2026-01-13T11:11:06.328Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-13 11:10:49,1768302649895,handscriptnotes.vercel.app/api/process-batch,POST,,200,dp4ts-1768302649895-789ada665943,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,6045,iad1,302,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KEVGTJ48X6WKATFQYT7NFVQZ,xlcDLwMoQQ9h,2
2026-01-13 11:11:00,1768302660776,handscriptnotes.vercel.app/api/process-batch,POST,,200,6nklv-1768302649895-9ac9ed825973,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""BatchProcessingStart"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":1,""batchSize"":1,""timestamp"":""2026-01-13T11:11:00.775Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-13 11:11:04,1768302664619,handscriptnotes.vercel.app/api/process-batch,POST,,200,6nklv-1768302649895-9ac9ed825973,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",warning,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""PageCountMismatch"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":1,""expected"":1,""generated"":3,""diff"":2,""timestamp"":""2026-01-13T11:11:04.618Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-13 11:11:04,1768302664684,handscriptnotes.vercel.app/api/process-batch,POST,,200,6nklv-1768302649895-9ac9ed825973,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""BatchProcessingComplete"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":1,""processedCount"":1,""durationMs"":3934,""timestamp"":""2026-01-13T11:11:04.683Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-13 11:10:49,1768302649895,handscriptnotes.vercel.app/api/process-batch,POST,,200,6nklv-1768302649895-9ac9ed825973,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,4506,iad1,309,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KEVGTJDED0TRCSA0VD3FY0FV,9t3gr4iikRh8,1
2026-01-13 11:10:59,1768302659699,handscriptnotes.vercel.app/api/process-batch,POST,,200,8fw8n-1768302649550-ea35aa0a215f,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""BatchProcessingStart"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":0,""batchSize"":1,""timestamp"":""2026-01-13T11:10:59.698Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-13 11:11:07,1768302667128,handscriptnotes.vercel.app/api/process-batch,POST,,200,8fw8n-1768302649550-ea35aa0a215f,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",warning,production,main,MISS,serverless,/api/process-batch,handscriptnotes.vercel.app,handscriptnotes.vercel.app,dpl_CALybK6ShZfXm6ptn6zAAcA2pk8L,,,,,"{""event"":""PageCountMismatch"",""jobId"":""nJlsQG1dbsQ-kQ9V9X9Rx"",""startPageIndex"":0,""expected"":1,""generated"":2,""diff"":1,""timestamp"":""2026-01-13T11:11:07.127Z""}",prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
